danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.109,0.000415,0,-41.882,1,0.0556,0.921,0.687,0.149,0.0365,71.722,342040,3,classical
0.276,0.000551,9,-29.091,0,0.0457,0.954,0.342,0.0488,0.174,68.736,72333,4,classical
0.468,0.0532,9,-28.779,0,0.0479,0.996,0.882,0.0875,0.659,104.719,57893,3,classical
0.747,0.883,11,-4.51,0,0.264,0.292,0,0.205,0.695,94.775,202344,4,dance
0.497,0.57,7,-7.746,0,0.0283,0.00365,0.0136,0.166,0.0594,125.145,360933,4,rock
0.593,0.642,1,-8.928,0,0.0451,0.674,0,0.109,0.709,90.025,574333,4,bollywood
0.564,0.864,2,-8.696,1,0.0412,0.0232,8.27E-05,0.0442,0.526,174.116,220907,4,rock
0.544,0.452,8,-14.662,0,0.055,0.56,0,0.218,0.776,109.619,404088,4,bollywood
0.202,0.117,1,-19.239,1,0.0485,0.986,0.000385,0.136,0.0386,79.083,1920000,4,classical
0.591,0.832,6,-7.178,1,0.0473,0.684,3.35E-06,0.279,0.807,90.859,322168,4,bollywood
0.216,0.058,2,-21.89,0,0.05,0.976,0.151,0.058,0.0696,88.516,284307,4,classical
0.255,0.413,2,-12.265,1,0.061,0.941,0.667,0.935,0.253,70.732,1142048,4,classical
0.835,0.684,6,-6.698,0,0.137,0.409,0,0.116,0.74,147.997,184865,4,hip-hop
0.719,0.524,0,-7.661,0,0.0715,0.0374,0,0.102,0.293,90.986,166390,4,bollywood
0.547,0.509,0,-7.201,1,0.031,0.85,0.00653,0.107,0.312,121.863,267229,4,bollywood
0.768,0.773,2,-6.643,1,0.0488,0.0169,0.00502,0.267,0.307,106.972,202500,4,bollywood
0.362,0.842,0,-3.599,1,0.24,0.149,0,0.142,0.516,157.828,137561,4,hip-hop
0.536,0.911,5,-3.862,1,0.126,0.0652,4.76E-06,0.074,0.697,143.019,196880,4,rock
0.717,0.613,9,-11.732,1,0.0389,0.394,0,0.121,0.933,134.967,471028,4,bollywood
0.543,0.811,11,-5.137,0,0.0302,0.0444,0.000201,0.278,0.89,132.814,120973,4,rock
0.78,0.611,4,-7.581,0,0.105,0.42,0,0.0861,0.478,129.997,259385,4,hip-hop
0.491,0.342,7,-7.988,1,0.0318,0.83,0.0942,0.315,0.597,142.022,181172,4,rock
0.579,0.0816,9,-23.536,1,0.0471,0.981,0.903,0.121,0.201,127.706,290187,4,classical
0.7,0.552,8,-14.126,1,0.0285,0.000198,0.946,0.143,0.673,108.514,193393,3,hip-hop
0.692,0.918,5,-3.504,1,0.0302,0.00135,0.000828,0.26,0.803,112.945,186773,4,dance
0.514,0.701,7,-8.907,0,0.0378,0.146,0.631,0.342,0.333,120.022,213000,4,rock
0.498,0.802,9,-7.232,1,0.0934,0.414,0.00102,0.121,0.904,127.066,294600,4,bollywood
0.811,0.258,1,-20.038,1,0.115,0.366,0.877,0.111,0.441,130.136,234961,4,rock
0.31,0.197,4,-18.329,0,0.0285,0.947,0.816,0.66,0.233,99.545,507307,3,dance
0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000,4,hip-hop
0.714,0.472,7,-10.602,1,0.0321,0.228,2.91E-05,0.0826,0.615,140.995,278335,3,bollywood
0.737,0.703,11,-7.285,1,0.157,0.00827,0,0.185,0.72,79.987,195937,4,dance
0.756,0.885,5,-3.073,0,0.0348,0.119,0.00164,0.069,0.668,120.012,123506,4,dance
0.731,0.632,10,-5.88,0,0.0393,0.433,0,0.0894,0.732,138.039,437682,3,bollywood
0.432,0.51,11,-12.604,1,0.0402,0.0424,0.00193,0.176,0.413,111.272,185048,5,hip-hop
0.654,0.492,8,-7.777,1,0.0337,0.0307,0.000694,0.144,0.185,94.992,269860,4,dance
0.493,0.901,11,-9.077,0,0.0451,0.00101,0.017,0.234,0.246,128.157,195752,4,dance
0.683,0.752,1,-6.815,0,0.181,0.0647,0.000153,0.173,0.482,81.489,238507,4,hip-hop
0.794,0.933,6,-2.379,1,0.124,0.421,0,0.518,0.792,129.942,241846,4,bollywood
0.712,0.279,5,-15.081,1,0.0344,0.839,0.00103,0.154,0.951,112.708,184842,4,rock
0.725,0.764,0,-6.313,1,0.0342,0.0971,1.07E-05,0.0784,0.233,123.981,261725,4,dance
0.464,0.0976,0,-22.68,1,0.0389,0.992,0.851,0.109,0.641,99.997,199540,4,classical
0.686,0.744,1,-6.956,0,0.282,0.769,0.0051,0.124,0.595,189.986,151641,4,dance
0.569,0.483,0,-8.052,1,0.0234,0.522,9.26E-05,0.155,0.315,73.621,212107,4,rock
0.572,0.783,5,-4.271,1,0.0338,0.201,0,0.392,0.778,140.095,120000,4,classical
0.532,0.703,10,-5.991,0,0.0421,0.136,0,0.058,0.655,133.901,277000,4,rock
0.828,0.479,9,-10.166,1,0.0462,0.276,0,0.279,0.45,116.001,194641,4,hip-hop
0.726,0.788,10,-5.023,0,0.181,0.0263,0.000124,0.37,0.732,95.09,134842,4,dance
0.736,0.703,2,-5.024,1,0.347,0.00392,0.000741,0.37,0.321,82.086,195786,4,hip-hop
0.471,0.992,4,-3.959,1,0.16,0.0401,0.000126,0.0608,0.105,99.976,169813,4,rock
0.531,0.567,6,-6.891,0,0.0346,0.684,0.000235,0.281,0.601,127.706,223333,4,bollywood
0.665,0.536,7,-10.97,1,0.0383,0.171,0.764,0.0869,0.126,119.968,337955,4,dance
0.373,0.899,1,-8.164,1,0.103,0.00507,0.00847,0.702,0.48,162.468,352693,4,rock
0.865,0.692,11,-7.296,0,0.165,0.0144,0,0.11,0.378,114.962,215249,4,hip-hop
0.775,0.295,7,-15.141,1,0.0589,0.105,0,0.0811,0.951,109.039,83220,4,dance
0.583,0.631,2,-6.95,1,0.0399,0.527,0,0.148,0.551,99.986,277320,4,dance
0.701,0.808,2,-7.722,1,0.45,0.379,0,0.687,0.685,80.802,163702,4,hip-hop
0.229,0.112,9,-22.2,1,0.0429,0.844,0.902,0.0609,0.0786,100.184,942089,4,classical
0.598,0.781,2,-6.192,1,0.167,0.389,0,0.337,0.783,98.177,344000,4,bollywood
0.324,0.0359,5,-23.266,1,0.0424,0.979,0.0608,0.101,0.175,125.576,190960,3,classical
0.271,0.0291,0,-25.987,0,0.0439,0.952,0.928,0.0947,0.241,93.062,166533,4,classical
0.665,0.71,2,-6.634,1,0.0417,0.0386,0.614,0.0766,0.78,145.061,197305,4,hip-hop
0.359,0.485,2,-12.474,1,0.222,0.83,0.0133,0.129,0.541,165.201,145984,4,rock
0.66,0.645,10,-6.238,0,0.114,0.0149,0,0.127,0.36,102.762,197347,4,hip-hop
0.686,0.723,0,-6.33,1,0.0245,0.0134,5.04E-05,0.177,0.721,120.434,252484,4,rock
0.778,0.757,7,-8.449,1,0.316,0.099,0,0.102,0.572,121.097,157240,4,rock
0.428,0.543,7,-8.821,1,0.114,0.672,0,0.0978,0.296,76.807,222428,4,hip-hop
0.668,0.937,0,-1.503,1,0.184,0.426,0,0.105,0.686,128.085,301790,4,bollywood
0.715,0.455,11,-13.686,1,0.0331,0.702,0.202,0.112,0.263,85.993,247432,4,hip-hop
0.732,0.512,2,-8.777,1,0.0723,0.876,0.00049,0.12,0.835,121.957,228587,3,dance
0.637,0.802,10,-7.725,0,0.0401,0.00353,0.863,0.08,0.238,126.017,213332,4,dance
0.545,0.919,2,-7.679,1,0.0484,0.00272,0.00511,0.0977,0.387,104.366,313573,4,rock
0.871,0.713,7,-5.486,1,0.0785,0.127,1.34E-06,0.0909,0.903,147.046,156773,4,hip-hop
0.651,0.593,7,-14.944,1,0.0486,0.752,0.000512,0.199,0.893,143.355,256863,4,bollywood
0.685,0.835,9,-4.977,0,0.146,0.0961,0,0.123,0.706,149.959,171200,4,dance
0.505,0.734,10,-5.326,0,0.0334,0.106,5.42E-05,0.122,0.39,151.878,231000,4,rock
0.492,0.895,3,-5.049,0,0.386,0.471,0,0.168,0.454,81.256,290547,4,hip-hop
0.169,0.237,2,-15.076,1,0.0387,0.878,0.906,0.173,0.0476,88.275,762262,4,classical
0.223,0.126,7,-21.324,0,0.0391,0.992,0.902,0.0954,0.0522,86.498,1007413,4,classical
0.673,0.965,0,-4.742,1,0.0628,0.00914,0.000793,0.336,0.661,107.961,285520,4,hip-hop
0.451,0.436,10,-7.247,1,0.0337,0.568,0,0.116,0.662,82.118,229750,4,dance
0.268,0.951,6,-4.408,0,0.118,0.000347,0.378,0.356,0.427,176.243,238440,4,rock
0.846,0.902,9,-3.612,1,0.113,0.22,0,0.0684,0.933,133.008,208483,4,bollywood
0.616,0.412,6,-10.253,1,0.27,0.664,0,0.377,0.307,138.438,226688,4,hip-hop
0.614,0.454,9,-10.46,1,0.0305,0.244,0,0.171,0.699,143.417,148933,4,rock
0.753,0.928,10,-6.584,0,0.0434,0.00378,0.636,0.159,0.822,125.008,624397,4,dance
0.688,0.677,10,-15.999,1,0.0292,0.211,0.00135,0.251,0.891,116.644,220973,4,rock
0.557,0.494,6,-8.828,1,0.0348,0.632,0,0.122,0.967,131.373,232853,4,bollywood
0.803,0.673,9,-8.8,1,0.154,0.017,8.20E-06,0.753,0.767,127.105,220987,4,dance
0.476,0.505,5,-12.631,1,0.0444,0.875,0.85,0.851,0.706,123.43,479189,4,bollywood
0.347,0.335,10,-18.421,1,0.0249,0.91,0.895,0.0928,0.145,99.37,87133,4,classical
0.607,0.676,11,-6.409,1,0.0267,0.445,2.06E-05,0.0923,0.921,89.978,203772,4,bollywood
